Date	Last Price
4/27/17	99.076
4/26/17	99.045
4/25/17	98.785
4/24/17	99.092
4/21/17	99.963
4/20/17	99.778
4/19/17	99.738
4/18/17	99.499
4/17/17	100.29
4/14/17	100.51
4/13/17	100.56
4/12/17	100.78
4/11/17	100.71
4/10/17	101.02
4/7/17	101.18
4/6/17	100.67
4/5/17	100.56
4/4/17	100.54
4/3/17	100.54
3/31/17	100.35
3/30/17	100.41
3/29/17	99.998
3/28/17	99.712
3/27/17	99.166
3/24/17	99.627
3/23/17	99.76
3/22/17	99.677
3/21/17	99.813
3/20/17	100.41
3/17/17	100.3
3/16/17	100.36
3/15/17	100.74
3/14/17	101.7
3/13/17	101.31
3/10/17	101.25
3/9/17	101.85
3/8/17	102.07
3/7/17	101.81
3/6/17	101.64
3/3/17	101.54
3/2/17	102.2
3/1/17	101.78
2/28/17	101.12
2/27/17	101.13
2/24/17	101.09
2/23/17	101.05
2/22/17	101.22
2/21/17	101.37
2/20/17	100.95
2/17/17	100.95
2/16/17	100.44
2/15/17	101.18
2/14/17	101.25
2/13/17	100.96
2/10/17	100.8
2/9/17	100.65
2/8/17	100.28
2/7/17	100.26
2/6/17	99.907
2/3/17	99.868
2/2/17	99.79
2/1/17	99.641
1/31/17	99.512
1/30/17	100.43
1/27/17	100.53
1/26/17	100.38
1/25/17	100.03
1/24/17	100.35
1/23/17	100.16
1/20/17	100.74
1/19/17	101.15
1/18/17	100.93
1/17/17	100.33
1/16/17	101.18
1/13/17	101.18
1/12/17	101.35
1/11/17	101.78
1/10/17	102.01
1/9/17	101.93
1/6/17	102.22
1/5/17	101.52
1/4/17	102.7
1/3/17	103.21
1/2/17	102.78
12/30/16	102.21
12/29/16	102.68
12/28/16	103.3
12/27/16	103.02
12/26/16	102.97
12/23/16	103.01
12/22/16	103.09
12/21/16	103.02
12/20/16	103.29
12/19/16	103.14
12/16/16	102.95
12/15/16	103.02
12/14/16	101.76
12/13/16	101.07
12/12/16	101.03
12/9/16	101.59
12/8/16	101.1
12/7/16	100.23
12/6/16	100.49
12/5/16	100.09
12/2/16	100.77
12/1/16	101.04
11/30/16	101.5
11/29/16	100.93
11/28/16	101.33
11/25/16	101.49
11/24/16	101.7
11/23/16	101.7
11/22/16	101.04
11/21/16	101.05
11/18/16	101.21
11/17/16	100.89
11/16/16	100.41
11/15/16	100.23
11/14/16	100.11
11/11/16	99.06
11/10/16	98.785
11/9/16	98.504
11/8/16	97.861
