Date	Last Price
4/21/17	152.66
4/20/17	155.269
4/19/17	157.716
4/18/17	159.51
4/17/17	155.242
4/14/17	154.95
4/13/17	154.644
4/12/17	154.808
4/11/17	158.1
4/10/17	156.879
4/7/17	162.307
4/6/17	161.617
4/5/17	164.828
4/4/17	165.512
4/3/17	160.69
3/31/17	161.179
3/30/17	161.78
3/29/17	160.897
3/28/17	164.911
3/27/17	168.98
3/24/17	170.343
3/23/17	170.413
3/22/17	169.173
3/21/17	168.726
3/20/17	157.579
3/17/17	140.325
3/16/17	141.921
3/15/17	143.861
3/14/17	145.77
3/13/17	143.895
3/10/17	143.589
3/9/17	142.829
3/8/17	143.506
3/7/17	143.701
3/6/17	144.628
3/3/17	144.463
3/2/17	147.421
3/1/17	148.912
2/28/17	150.771
2/27/17	149.575
2/24/17	151.014
2/23/17	155.822
2/22/17	155.615
2/21/17	153.743
2/20/17	156.541
2/17/17	156.553
2/16/17	153.939
2/15/17	154.284
2/14/17	156.086
2/13/17	157.509
2/10/17	161.918
2/9/17	164.688
2/8/17	167.469
2/7/17	169.044
2/6/17	169.474
2/3/17	169.717
2/2/17	168.653
2/1/17	170.126
1/31/17	170.643
1/30/17	167.524
1/27/17	164.054
1/26/17	161.91
1/25/17	166.986
1/24/17	172.112
1/23/17	176.08
1/20/17	175.216
1/19/17	176.824
1/18/17	180.166
1/17/17	182.072
1/16/17	188.179
1/13/17	190.115
1/12/17	185.177
1/11/17	183.161
1/10/17	180.841
1/9/17	180.679
1/6/17	180.098
1/5/17	178.305
1/4/17	171.296
1/3/17	165.394
1/2/17	159.756
12/30/16	160.46
12/29/16	157.468
12/28/16	160.367
12/27/16	155.957
12/26/16	156.66
12/23/16	157.027
12/22/16	152.806
12/21/16	148.566
12/20/16	143.553
12/19/16	143.329
12/16/16	137.157
12/15/16	124.002
12/14/16	117.126
12/13/16	113.731
12/12/16	110.174
12/9/16	111.755
12/8/16	111.563
12/7/16	114.486
12/6/16	117.472
12/5/16	120.216
12/2/16	126.347
12/1/16	128.855
11/30/16	129.588
11/29/16	129.861
11/28/16	129.506
11/25/16	129.367
11/24/16	128.693
11/23/16	128.893
11/22/16	127.299
11/21/16	126.523
11/18/16	129.557
11/17/16	129.833
11/16/16	133.203
11/15/16	135.468
11/14/16	140.494
11/11/16	151.398
11/10/16	156.386
11/9/16	168.333
11/8/16	167.27
