Date	Last Price
4/21/17	1283.99
4/20/17	1281.9
4/19/17	1280.21
4/18/17	1289.76
4/17/17	1284.71
4/14/17	1285.69
4/13/17	1287.92
4/12/17	1286.78
4/11/17	1274.86
4/10/17	1254.68
4/7/17	1254.53
4/6/17	1251.7
4/5/17	1255.76
4/4/17	1256.28
4/3/17	1253.5
3/31/17	1249.2
3/30/17	1242.64
3/29/17	1253.45
3/28/17	1251.82
3/27/17	1254.86
3/24/17	1243.57
3/23/17	1245.2
3/22/17	1248.84
3/21/17	1244.81
3/20/17	1234.24
3/17/17	1229.26
3/16/17	1226.61
3/15/17	1219.88
3/14/17	1199.12
3/13/17	1204.3
3/10/17	1204.64
3/9/17	1201.24
3/8/17	1208.31
3/7/17	1215.86
3/6/17	1225.29
3/3/17	1234.81
3/2/17	1234.25
3/1/17	1249.69
2/28/17	1248.44
2/27/17	1252.73
2/24/17	1257.19
2/23/17	1249.56
2/22/17	1237.44
2/21/17	1235.74
2/20/17	1238.47
2/17/17	1234.6
2/16/17	1239.04
2/15/17	1233.7
2/14/17	1228.13
2/13/17	1225.26
2/10/17	1233.62
2/9/17	1228.36
2/8/17	1241.53
2/7/17	1233.85
2/6/17	1235.53
2/3/17	1220.3
2/2/17	1215.96
2/1/17	1209.84
1/31/17	1210.72
1/30/17	1195.7
1/27/17	1191.2
1/26/17	1188.5
1/25/17	1200.69
1/24/17	1208.94
1/23/17	1218.23
1/20/17	1210.32
1/19/17	1204.85
1/18/17	1204.3
1/17/17	1217.07
1/16/17	1202.73
1/13/17	1197.34
1/12/17	1195.43
1/11/17	1191.62
1/10/17	1187.88
1/9/17	1181.1
1/6/17	1172.63
1/5/17	1180.12
1/4/17	1163.65
1/3/17	1158.84
12/30/16	1147.5
12/29/16	1158.19
12/28/16	1141.67
12/27/16	1138.78
12/23/16	1133.3
12/22/16	1128.38
12/21/16	1131.61
12/20/16	1132.35
12/19/16	1138.21
12/16/16	1134.88
12/15/16	1128.5
12/14/16	1142.95
12/13/16	1158.54
12/12/16	1162.22
12/9/16	1159.86
12/8/16	1170.78
12/7/16	1173.98
12/6/16	1169.85
12/5/16	1170.38
12/2/16	1177.43
12/1/16	1171.69
11/30/16	1173.2
11/29/16	1188.31
11/28/16	1194
11/25/16	1183.56
11/24/16	1181.67
11/23/16	1188.32
11/22/16	1212.32
11/21/16	1214.23
11/18/16	1207.89
11/17/16	1216.42
11/16/16	1224.99
11/15/16	1228.73
11/14/16	1221.35
11/11/16	1227.64
11/10/16	1259.2
11/9/16	1277.98
11/8/16	1275.68
