Date	Last Price
4/21/17	20582.26
4/20/17	20578.71
4/19/17	20404.49
4/18/17	20523.28
4/17/17	20636.92
4/13/17	20453.25
4/12/17	20591.86
4/11/17	20651.3
4/10/17	20658.02
4/7/17	20656.1
4/6/17	20662.95
4/5/17	20648.15
4/4/17	20689.24
4/3/17	20650.21
3/31/17	20663.22
3/30/17	20728.49
3/29/17	20659.32
3/28/17	20701.5
3/27/17	20550.98
3/24/17	20596.72
3/23/17	20656.58
3/22/17	20661.3
3/21/17	20668.01
3/20/17	20905.86
3/17/17	20914.62
3/16/17	20934.55
3/15/17	20950.1
3/14/17	20837.37
3/13/17	20881.48
3/10/17	20902.98
3/9/17	20858.19
3/8/17	20855.73
3/7/17	20924.76
3/6/17	20954.34
3/3/17	21005.71
3/2/17	21002.97
3/1/17	21115.55
2/28/17	20812.24
2/27/17	20837.44
2/24/17	20821.76
2/23/17	20810.32
2/22/17	20775.6
2/21/17	20743
2/17/17	20624.05
2/16/17	20619.77
2/15/17	20611.86
2/14/17	20504.41
2/13/17	20412.16
2/10/17	20269.37
2/9/17	20172.4
2/8/17	20054.34
2/7/17	20090.29
2/6/17	20052.42
2/3/17	20071.46
2/2/17	19884.91
2/1/17	19890.94
1/31/17	19864.09
1/30/17	19971.13
1/27/17	20093.78
1/26/17	20100.91
1/25/17	20068.51
1/24/17	19912.71
1/23/17	19799.85
1/20/17	19827.25
1/19/17	19732.4
1/18/17	19804.72
1/17/17	19826.77
1/13/17	19885.73
1/12/17	19891
1/11/17	19954.28
1/10/17	19855.53
1/9/17	19887.38
1/6/17	19963.8
1/5/17	19899.29
1/4/17	19942.16
1/3/17	19881.76
12/30/16	19762.6
12/29/16	19819.78
12/28/16	19833.68
12/27/16	19945.04
12/23/16	19933.81
12/22/16	19918.88
12/21/16	19941.96
12/20/16	19974.62
12/19/16	19883.06
12/16/16	19843.41
12/15/16	19852.24
12/14/16	19792.53
12/13/16	19911.21
12/12/16	19796.43
12/9/16	19756.85
12/8/16	19614.81
12/7/16	19549.62
12/6/16	19251.78
12/5/16	19216.24
12/2/16	19170.42
12/1/16	19191.93
11/30/16	19123.58
11/29/16	19121.6
11/28/16	19097.9
11/25/16	19152.14
11/23/16	19083.18
11/22/16	19023.87
11/21/16	18956.69
11/18/16	18867.93
11/17/16	18903.82
11/16/16	18868.14
11/15/16	18923.06
11/14/16	18868.69
11/11/16	18847.66
11/10/16	18807.88
11/9/16	18589.69
11/8/16	18332.74
