Date	Last Price
4/26/17	96.9556
4/25/17	96.6223
4/24/17	97.2082
4/21/17	97.5741
4/20/17	97.2076
4/19/17	96.5127
4/18/17	96.6689
4/17/17	97.2916
4/13/17	97.3417
4/12/17	97.4246
4/11/17	97.6091
4/10/17	97.4464
4/7/17	96.8854
4/6/17	96.9864
4/5/17	96.6788
4/4/17	96.5283
4/3/17	96.5601
3/31/17	96.8165
3/30/17	96.8263
3/29/17	96.5985
3/28/17	96.3449
3/27/17	96.1382
3/24/17	96.3642
3/23/17	96.2525
3/22/17	96.5226
3/21/17	96.8369
3/20/17	97.1286
3/17/17	97.5504
3/16/17	97.5249
3/15/17	97.4254
3/14/17	97.7572
3/13/17	97.8721
3/10/17	98.1964
3/9/17	98.4894
3/8/17	98.3517
3/7/17	98.37
3/6/17	98.6857
3/3/17	98.8844
3/2/17	99.1797
3/1/17	98.9183
2/28/17	98.9327
2/27/17	99.2346
2/24/17	99.4049
2/23/17	98.9491
2/22/17	98.9439
2/21/17	99.3947
2/17/17	99.3522
2/16/17	99.3531
2/15/17	99.469
2/14/17	99.6608
2/13/17	99.3825
2/10/17	99.5186
2/9/17	99.2556
2/8/17	98.7758
2/7/17	99.064
2/6/17	99.2455
2/3/17	99.5337
2/2/17	98.9333
2/1/17	99.5828
1/31/17	99.9363
1/30/17	100.2424
1/27/17	100.0302
1/26/17	101.0703
1/25/17	100.8485
1/24/17	101.5673
1/23/17	101.6632
1/20/17	101.7579
1/19/17	101.7429
1/18/17	101.8029
1/17/17	102.1559
1/13/17	101.874
1/12/17	101.8831
1/11/17	101.7265
1/10/17	101.7135
1/9/17	101.0548
1/6/17	101.5568
1/5/17	102.0012
1/4/17	102.1645
1/3/17	101.863
12/30/16	101.2061
12/29/16	100.8824
12/28/16	101.0153
12/27/16	100.4437
12/23/16	100.9479
12/22/16	101.1002
12/21/16	101.7611
12/20/16	101.9573
12/19/16	102.1024
12/16/16	102.1386
12/15/16	101.8626
12/14/16	102.2017
12/13/16	102.6968
12/12/16	102.6061
12/9/16	102.4807
12/8/16	102.3154
12/7/16	102.1632
12/6/16	101.9305
12/5/16	102.1857
12/2/16	102.3247
12/1/16	102.816
11/30/16	101.6895
11/29/16	100.9648
11/28/16	101.0545
11/25/16	100.9556
11/23/16	101.3287
11/22/16	101.0636
11/21/16	101.5381
11/18/16	101.2397
11/17/16	101.3582
11/16/16	101.1675
11/15/16	101.6895
11/14/16	102.0135
11/11/16	100.7241
11/10/16	101.8239
11/9/16	100.7552
11/8/16	100
