Date	Last Price
4/21/17	74.935
4/20/17	74.8
4/19/17	74.07
4/18/17	73.89
4/17/17	73.49
4/13/17	73.15
4/12/17	73.44
4/11/17	73.43
4/10/17	73.06
4/7/17	72.9
4/6/17	71.43
4/5/17	71.65
4/4/17	72.01
4/3/17	71.83
3/31/17	72.08
3/30/17	71.59
3/29/17	70.74
3/28/17	70.32
3/27/17	69.66
3/24/17	69.61
3/23/17	69.86
3/22/17	70.25
3/21/17	69.9
3/20/17	69.98
3/17/17	69.89
3/16/17	70.44
3/15/17	70.58
3/14/17	70.72
3/13/17	69.95
3/10/17	70.1
3/9/17	69.86
3/8/17	69.8
3/7/17	69.87
3/6/17	69.88
3/3/17	70.03
3/2/17	70.76
3/1/17	70.45
2/28/17	70.93
2/27/17	71.74
2/24/17	72.39
2/23/17	71.31
2/22/17	71.71
2/21/17	71.45
2/17/17	69.37
2/16/17	68.87
2/15/17	68.69
2/14/17	68.66
2/13/17	67.77
2/10/17	68.02
2/9/17	69.08
2/8/17	67.81
2/7/17	66.89
2/6/17	66.4
2/3/17	66.5
2/2/17	66.7
2/1/17	66.23
1/31/17	66.74
1/30/17	66.42
1/27/17	65.66
1/26/17	66.73
1/25/17	66.89
1/24/17	67.4
1/23/17	66.65
1/20/17	67.18
1/19/17	67.62
1/18/17	68.11
1/17/17	68.42
1/13/17	67.13
1/12/17	67.97
1/11/17	68.53
1/10/17	68.23
1/9/17	68.71
1/6/17	68.26
1/5/17	69.21
1/4/17	69.06
1/3/17	68.66
12/30/16	69.12
12/29/16	69.26
12/28/16	69.31
12/27/16	69.7
12/23/16	69.54
12/22/16	69.59
12/21/16	71.24
12/20/16	71.82
12/19/16	71.58
12/16/16	70.98
12/15/16	71.08
12/14/16	71.34
12/13/16	71.8
12/12/16	71.67
12/9/16	70.08
12/8/16	70.34
12/7/16	70.6
12/6/16	70.36
12/5/16	69.94
12/2/16	70.88
12/1/16	70.67
11/30/16	70.43
11/29/16	71.37
11/28/16	71.19
11/25/16	71.23
11/23/16	70.83
11/22/16	70.12
11/21/16	69.37
11/18/16	68.54
11/17/16	69.19
11/16/16	71.39
11/15/16	71.42
11/14/16	70.49
11/11/16	71.23
11/10/16	71.39
11/9/16	71.1
11/8/16	69.79
