Date	Last Price
4/21/17	18.836
4/20/17	18.7901
4/19/17	18.8379
4/18/17	18.5914
4/17/17	18.4972
4/14/17	18.521
4/13/17	18.581
4/12/17	18.5512
4/11/17	18.7799
4/10/17	18.682
4/7/17	18.6662
4/6/17	18.7478
4/5/17	18.8302
4/4/17	18.8257
4/3/17	18.6721
3/31/17	18.7249
3/30/17	18.7145
3/29/17	18.7068
3/28/17	19.0296
3/27/17	18.8918
3/24/17	18.7579
3/23/17	18.9286
3/22/17	19.0263
3/21/17	19.0999
3/20/17	19.0013
3/17/17	19.0772
3/16/17	19.2654
3/15/17	19.2215
3/14/17	19.667
3/13/17	19.6177
3/10/17	19.6086
3/9/17	19.8377
3/8/17	19.6715
3/7/17	19.4946
3/6/17	19.6135
3/3/17	19.51
3/2/17	19.999
3/1/17	19.8104
2/28/17	20.109
2/27/17	19.911
2/24/17	19.9115
2/23/17	19.6669
2/22/17	19.9067
2/21/17	20.0138
2/20/17	20.3718
2/17/17	20.4292
2/16/17	20.3802
2/15/17	20.2748
2/14/17	20.2605
2/13/17	20.2823
2/10/17	20.3461
2/9/17	20.3504
2/8/17	20.4793
2/7/17	20.6208
2/6/17	20.5634
2/3/17	20.3631
2/2/17	20.5602
2/1/17	20.7074
1/31/17	20.8322
1/30/17	20.7839
1/27/17	20.8863
1/26/17	21.2139
1/25/17	21.0719
1/24/17	21.5273
1/23/17	21.3879
1/20/17	21.5877
1/19/17	21.9555
1/18/17	21.9544
1/17/17	21.5079
1/16/17	21.7363
1/13/17	21.4765
1/12/17	21.7798
1/11/17	21.8574
1/10/17	21.8067
1/9/17	21.3788
1/6/17	21.2217
1/5/17	21.4226
1/4/17	21.4459
1/3/17	21.1102
1/2/17	20.7334
12/30/16	20.7272
12/29/16	20.7281
12/28/16	20.7543
12/27/16	20.7593
12/26/16	20.6348
12/23/16	20.6095
12/22/16	20.7592
12/21/16	20.5579
12/20/16	20.4583
12/19/16	20.3865
12/16/16	20.4395
12/15/16	20.3326
12/14/16	20.4708
12/13/16	20.279
12/12/16	20.2144
12/9/16	20.3894
12/8/16	20.3172
12/7/16	20.3354
12/6/16	20.3939
12/5/16	20.5943
12/2/16	20.6281
12/1/16	20.7785
11/30/16	20.5743
11/29/16	20.6236
11/28/16	20.6303
11/25/16	20.6538
11/24/16	20.7441
11/23/16	20.6446
11/22/16	20.5949
11/21/16	20.4495
11/18/16	20.6435
11/17/16	20.4286
11/16/16	20.2085
11/15/16	20.2695
11/14/16	20.6906
11/11/16	20.8492
11/10/16	20.5754
11/9/16	19.844
11/8/16	18.3226
